array,random_access,1,3081.50
array,random_access,2,851.70
array,random_access,3,933.10
array,random_access,4,842.00
array,random_access,5,1065.40
arraylist,random_access,1,23438.80
arraylist,random_access,2,3961.70
arraylist,random_access,3,9710.90
arraylist,random_access,4,1830.10
arraylist,random_access,5,1440.60
array,append,1,3209.70
array,append,2,1437.50
array,append,3,1285.70
array,append,4,1196.20
array,append,5,1170.70
arraylist,append,1,11866.70
arraylist,append,2,7394.20
arraylist,append,3,9988.50
arraylist,append,4,6100.90
arraylist,append,5,5416.50
array,insert_front,1,3836.60
array,insert_front,2,1629.30
array,insert_front,3,1540.50
array,insert_front,4,1518.80
array,insert_front,5,1501.40
arraylist,insert_front,1,154559389.90
arraylist,insert_front,2,50862422.50
arraylist,insert_front,3,31550637.00
arraylist,insert_front,4,23847146.10
arraylist,insert_front,5,22606522.30
array,remove_front,1,26389.80
array,remove_front,2,1207.40
array,remove_front,3,1129.40
array,remove_front,4,1081.90
array,remove_front,5,1080.80
arraylist,remove_front,1,880462.90
arraylist,remove_front,2,866359.80
arraylist,remove_front,3,903091.80
arraylist,remove_front,4,1057048.50
arraylist,remove_front,5,899339.50
70
